"PAYS","variable","value"
"Grèce","CA93",0
"Hongrie","CA93",0
"Serbie","CA93",0
"Suède","CA93",0
"Nouvelle-Zélande","CA93",0
"Philippines","CA93",0
"Pologne","CA93",0
"Afrique du Sud","CA93",1
"Algérie","CA93",0
"Bosnie","CA93",0
"Burkina Faso","CA93",0
"Cambodge","CA93",0
"Chili","CA93",0
"Colombie","CA93",0
"Egypte","CA93",0
"Guinée","CA93",0
"Haiti","CA93",1
"Inde","CA93",0
"Irak","CA93",0
"Irlande","CA93",0
"Mali","CA93",0
"Mauritanie","CA93",0
"Norvège","CA93",0
"Palestine","CA93",0
"Pays-Bas","CA93",0
"Sénégal","CA93",0
"Singapour","CA93",0
"Suisse","CA93",0
"Tchad","CA93",0
"Thailande","CA93",0
"Ukraine","CA93",0
"Albanie","CA93",0
"Bangladesh","CA93",0
"Bolivie","CA93",0
"Bulgarie","CA93",0
"Croatie","CA93",0
"Cuba","CA93",0
"Géorgie","CA93",0
"Islande","CA93",0
"Kazakhstan","CA93",0
"Kenya","CA93",0
"Liban","CA93",0
"Lituanie","CA93",0
"Malaisie","CA93",0
"Maroc","CA93",0
"Perou","CA93",0
"République Tchèque","CA93",0
"Slovaquie","CA93",0
"Slovénie","CA93",0
"Sri Lanka","CA93",0
"Uruguay","CA93",0
"Venezuela","CA93",0
"France","CA94",3
"Etats-Unis","CA94",4
"Royaume-Uni","CA94",1
"Italie","CA94",4
"Japon","CA94",0
"Chine","CA94",1
"Russie","CA94",2
"Canada","CA94",1
"Corée du Sud","CA94",0
"Taiwan","CA94",1
"Danemark","CA94",0
"Mexique","CA94",1
"Belgique","CA94",1
"Espagne","CA94",0
"Australie","CA94",0
"Autriche","CA94",0
"Israel","CA94",0
"Allemagne","CA94",0
"Argentine","CA94",0
"Iran","CA94",1
"Portugal","CA94",0
"Turquie","CA94",0
"Brésil","CA94",0
"Hong-Kong","CA94",0
"Roumanie","CA94",1
"Finlande","CA94",0
"Grèce","CA94",0
"Hongrie","CA94",0
"Serbie","CA94",0
"Suède","CA94",0
"Nouvelle-Zélande","CA94",0
"Philippines","CA94",0
"Pologne","CA94",1
"Afrique du Sud","CA94",0
"Algérie","CA94",0
